beta_FM	beta_MF	P_FBB	P_FNB	P_FTS	pmf	pmc	f_mf	f_mc	df_BB	df_NB	df_TS	dm_BB	dm_NB	dm_TS	Z	CCBB_FBB	CCNB_FNB	CFBB_CBB1	CFNB_CNB1	CCTS_FTS	f_FBB	f_FNB	f_FTS	t_gamma	eta_T
0.000642666	0.000622645	0.001517552	0.013402873	0.084505887	0.282307194	0.392989282	0.312162482	0.664005529	2.441875895	5.431182527	12.75594614	8.585022999	8.832982771	9.819728764	0.782239612	850.0634098	108.453441	28.72753487	29.01028195	10.53460408	0.570636793	0.446849636	0.380911542	0.039135205	0.085790351
0.000753978	0.001310742	0.001283322	0.004375567	0.17733137	0.393124276	0.51975479	0.374398644	0.407209677	2.11593611	2.934848876	8.152557952	7.872864404	5.726137588	4.955644869	0.161184529	385.1455726	44.08764797	39.29699693	35.85308577	5.700041223	0.674305021	0.515036852	0.134759031	0.03112681	0.132419249
0.000731357	0.001062446	0.002736612	0.013216361	0.025695674	0.202599841	0.418161398	0.315943394	0.73728134	2.507408815	3.977213828	10.31806385	5.559610773	9.806812177	1.429254977	0.453725689	510.2662084	142.6192009	35.7025453	14.81226351	16.52507485	0.582305927	0.490298149	0.280284427	0.033785274	0.060116531
0.000638058	0.000990376	0.002598113	0.007264039	0.102546338	0.333561205	0.384891124	0.409950874	0.38292979	3.317054972	1.394822254	6.227573338	5.28054331	7.705868192	2.081324732	0.536391805	682.011514	119.8090958	38.77187982	23.31194535	7.615632038	0.63909155	0.578320321	0.211068951	0.026939667	0.095256345
0.000770757	0.001253195	0.002510308	0.011725746	0.016373968	0.307329227	0.308402549	0.457507192	0.350534075	2.608162449	2.673084377	6.954762233	7.944817306	6.613968462	6.985579372	0.868077769	528.0387658	160.9601888	17.27703821	36.54211762	7.618848181	0.513205942	0.665516927	0.202795445	0.032108457	0.07389786
0.000717413	0.0014606	0.010806574	0.00249884	0.09345631	0.388488157	0.41579697	0.424590248	0.609910776	2.657689454	1.616839274	8.943838816	8.8386071	7.392458559	3.300271521	0.125796439	517.8904151	154.1825025	32.47864772	23.97578752	10.20482119	0.587379343	0.668673043	0.257133778	0.03046539	0.144455109
0.000795381	0.00094737	0.001240937	0.003396241	0.122002277	0.470707014	0.315278848	0.279778797	0.429430006	1.338344933	4.128367681	14.55516283	7.986861598	5.59678469	4.166217446	0.196203046	999.7098649	84.11141973	28.98599149	32.7137601	7.747192242	0.644145458	0.534401862	0.334626057	0.026733782	0.096588324
0.000618653	0.001050506	0.004296497	0.016984472	0.070822175	0.401716495	0.377167436	0.285174137	0.363504725	2.235609893	4.55161546	5.36172003	7.726115246	9.604999875	6.643317099	0.403241199	652.3078454	162.9726417	40.91558891	44.92444527	6.91763882	0.634599673	0.668468682	0.12808549	0.038157289	0.146427349
0.00073473	0.000762212	0.007659761	0.010869828	0.101609121	0.179136644	0.309513498	0.307685507	0.383065589	4.954513009	4.661786257	8.420995597	5.256121654	7.163416357	9.594036172	0.385028464	640.9054627	242.1020289	30.95788741	24.91578577	7.66361764	0.532342891	0.591779255	0.25997518	0.031697679	0.091504204
0.000754891	0.001100421	0.007517804	0.019434957	0.012888793	0.336598052	0.287851809	0.455067097	0.633393273	5.769347438	5.989849542	6.762134202	5.362201546	9.159268147	9.692233224	0.174014536	369.7228126	202.4375343	45.19653004	21.04176503	6.569269618	0.582985499	0.602291706	0.100180318	0.025912579	0.125467864
